plot_id,study_site,plot_location,age_class,fallow_years,stems_ha,basal_area_m2_ha,agb_mg_ha,agc_mg_ha
P001,KHFR,Reserve interior,control,60,382,29.67,282.27,132.67
P002,KHFR,Reserve interior,control,60,285,29.89,332.67,156.36
P003,KHFR,Reserve interior,control,60,374,29.22,310.65,146.0
P004,KHFR,Reserve interior,control,60,471,31.62,297.75,139.94
P005,KHFR,Reserve interior,control,60,338,31.03,329.97,155.09
P006,KHFR,Reserve interior,control,60,481,31.68,230.4,108.29
P007,KHFR,Reserve interior,control,60,427,29.99,293.33,137.87
P008,KHFR,Reserve interior,control,60,424,29.0,204.26,96.0
P009,KHFR,Reserve interior,control,60,416,29.34,342.88,161.16
P010,KHFR,Reserve interior,control,60,312,34.26,305.64,143.65
P011,KHFR_surroundings,Community fallow land,farmbush,3,197,1.44,2.71,1.28
P012,KHFR_surroundings,Community fallow land,young_secondary,6,676,7.39,10.88,5.12
P013,KHFR_surroundings,Community fallow land,old_secondary,10,590,13.73,47.43,22.29
P014,KHFR_surroundings,Community fallow land,farmbush,3,395,2.72,1.21,0.57
P015,KHFR_surroundings,Community fallow land,young_secondary,5,650,11.38,14.11,6.63
P016,KHFR_surroundings,Community fallow land,old_secondary,11,555,20.27,43.96,20.66
P017,KHFR_surroundings,Community fallow land,farmbush,4,380,2.15,1.57,0.74
P018,KHFR_surroundings,Community fallow land,young_secondary,7,836,8.92,15.83,7.44
P019,KHFR_surroundings,Community fallow land,old_secondary,13,583,14.15,31.02,14.58
P020,KHFR_surroundings,Community fallow land,farmbush,3,491,3.26,3.53,1.66
P021,KHFR_surroundings,Community fallow land,young_secondary,8,423,9.28,19.97,9.39
P022,KHFR_surroundings,Community fallow land,old_secondary,11,372,21.34,34.2,16.07
P023,KHFR_surroundings,Community fallow land,farmbush,3,393,3.03,2.2,1.04
P024,KHFR_surroundings,Community fallow land,young_secondary,5,835,10.84,16.83,7.91
P025,KHFR_surroundings,Community fallow land,old_secondary,10,456,15.87,46.94,22.06
P026,KHFR_surroundings,Community fallow land,farmbush,3,371,3.66,1.37,0.65
P027,KHFR_surroundings,Community fallow land,young_secondary,7,500,11.22,13.28,6.24
P028,KHFR_surroundings,Community fallow land,old_secondary,10,407,11.56,36.84,17.31
P029,KHFR_surroundings,Community fallow land,farmbush,4,521,3.17,1.63,0.76
